city,state,year,crime_type,reported_cases,solved_cases,unsolved_cases,Monetary Loss (INR),Victim Age,Victim Gender,Victim Profession,population,literacy_rate,internet_penetration,unemployment_rate
Mumbai,Maharashtra,2024,Online Harassment,484,312,172,1090945.04,58,Male,Government Employee,5297501,66.72,53.77,3.72
Pune,Maharashtra,2022,Cyberstalking,176,132,44,4906714.32,56,Other,Freelancer,9088999,68.01,45.77,11.34
Nagpur,Maharashtra,2023,Identity Theft,84,39,45,1701924.72,37,Other,Government Employee,15139692,70.78,63.8,9.63
Nashik,Maharashtra,2022,Ransomware,38,26,12,1800379.19,66,Male,Unemployed,9250870,60.68,72.26,4.09
Thane,Maharashtra,2024,Online Harassment,160,95,65,167211.04,42,Female,Government Employee,18775660,79.6,41.97,4.15
New Delhi,Delhi,2024,Hacking,448,140,308,578831.15,30,Male,Government Employee,16145480,92.95,65.58,11.52
Dwarka,Delhi,2022,Ransomware,362,361,1,2460854.68,32,Other,Freelancer,2040342,63.55,68.38,4.76
Rohini,Delhi,2023,Hacking,482,145,337,599602.41,23,Other,Engineer,10939940,94.2,73.95,10.24
Saket,Delhi,2022,Online Harassment,303,102,201,2831090.11,43,Male,Government Employee,19267736,79.13,69.64,7.57
Karol Bagh,Delhi,2023,Phishing,81,8,73,4360090.36,59,Other,Government Employee,12170854,91.68,56.75,10.85
Bengaluru,Karnataka,2022,Identity Theft,249,58,191,2330978.27,36,Male,Business,8618385,81.13,85.96,3.4
Mysuru,Karnataka,2024,Ransomware,228,101,127,4040020.81,66,Male,Student,17238649,73.07,63.94,11.96
Mangaluru,Karnataka,2024,Identity Theft,414,275,139,2485446.88,51,Female,Engineer,2585123,79.79,88.45,9.81
Hubli,Karnataka,2024,Cyberstalking,418,262,156,4239181.74,20,Other,Unemployed,6455120,86.32,76.03,6.31
Belgaum,Karnataka,2023,Hacking,241,227,14,4408675.91,62,Male,Government Employee,2500338,66.36,64.51,6.54
Chennai,Tamil Nadu,2024,Ransomware,465,10,455,2037257.04,33,Male,Freelancer,683227,60.3,49.34,3.5
Coimbatore,Tamil Nadu,2022,Identity Theft,282,234,48,3285382.87,27,Other,Government Employee,19406078,65.34,76.38,4.06
Madurai,Tamil Nadu,2022,Financial Fraud,23,17,6,3029511.27,69,Male,Doctor,18171951,72.2,34.16,10.71
Tiruchirappalli,Tamil Nadu,2022,Data Breach,113,38,75,858280.1,32,Male,Teacher,11973391,60.96,82.66,11.44
Salem,Tamil Nadu,2022,Ransomware,23,14,9,4344287.3,69,Other,Teacher,12814661,61.72,56.31,3.99
Lucknow,Uttar Pradesh,2023,Financial Fraud,57,11,46,2558181.49,52,Other,Engineer,5515446,86.48,37.22,6.89
Kanpur,Uttar Pradesh,2024,Identity Theft,393,162,231,2104882.94,28,Male,Government Employee,16088312,68.93,36.72,6.57
Ghaziabad,Uttar Pradesh,2022,Ransomware,421,215,206,2031526.32,69,Male,Government Employee,12142763,93.1,80.19,6.34
Varanasi,Uttar Pradesh,2024,Online Harassment,127,21,106,3269641.59,66,Female,Unemployed,581838,93.3,46.48,8.47
Agra,Uttar Pradesh,2023,Phishing,82,31,51,927924.01,15,Male,Doctor,4755014,84.33,75.74,2.61
Kolkata,West Bengal,2022,Online Harassment,200,158,42,2103638.03,25,Female,Doctor,5909861,92.77,87.92,9.42
Howrah,West Bengal,2024,Cyberstalking,196,28,168,3943456.07,16,Female,Teacher,10319831,74.13,52.39,10.41
Durgapur,West Bengal,2024,Identity Theft,24,0,24,1691331.13,45,Male,Doctor,13728608,61.63,52.62,7.99
Asansol,West Bengal,2024,Cyberstalking,90,12,78,123945.38,29,Male,Freelancer,2275522,63.93,58.54,11.83
Siliguri,West Bengal,2024,Hacking,78,77,1,4056654.35,15,Female,Unemployed,15803368,91.48,45.41,5.23
Ahmedabad,Gujarat,2024,Identity Theft,499,314,185,3358738.15,21,Female,Unemployed,19217618,66.87,43.16,3.3
Surat,Gujarat,2022,Data Breach,347,42,305,3728766.93,60,Female,Business,3580872,68.74,45.04,9.3
Vadodara,Gujarat,2023,Identity Theft,373,236,137,3358364.0,48,Other,Business,4469356,71.48,52.49,3.45
Rajkot,Gujarat,2024,Phishing,392,197,195,3177807.11,65,Male,Doctor,530557,65.0,32.05,9.95
Bhavnagar,Gujarat,2022,Ransomware,175,2,173,2881829.33,45,Female,Teacher,19417667,74.2,89.56,6.53
Jaipur,Rajasthan,2023,Hacking,70,35,35,3294529.5,47,Female,Government Employee,6301841,68.93,78.42,6.87
Jodhpur,Rajasthan,2024,Hacking,349,49,300,3356662.79,36,Other,Business,2167880,87.37,55.59,2.25
Udaipur,Rajasthan,2024,Cyberstalking,58,14,44,4876685.03,68,Male,Engineer,18520532,84.94,37.58,5.48
Kota,Rajasthan,2023,Ransomware,293,42,251,4833148.13,47,Male,Freelancer,17193114,66.82,80.4,4.22
Ajmer,Rajasthan,2022,Data Breach,385,381,4,1801985.66,53,Male,Student,17939755,72.69,43.83,11.47
Patna,Bihar,2024,Cyberstalking,201,40,161,545683.46,25,Other,Teacher,5151987,78.93,87.31,6.24
Gaya,Bihar,2022,Online Harassment,35,25,10,1517657.34,48,Female,Unemployed,15753613,71.27,73.29,5.0
Muzaffarpur,Bihar,2022,Online Harassment,372,284,88,3357194.84,28,Other,Engineer,2037168,86.43,38.42,6.81
Bhagalpur,Bihar,2022,Data Breach,210,201,9,839242.9,41,Female,Teacher,8390735,89.2,34.23,11.63
Purnia,Bihar,2023,Cyberstalking,467,205,262,661183.54,62,Other,Doctor,6956545,75.52,70.33,9.61
Bhopal,Madhya Pradesh,2022,Financial Fraud,276,159,117,2644992.73,64,Other,Unemployed,7840707,83.11,47.93,3.25
Indore,Madhya Pradesh,2024,Hacking,88,9,79,4407123.06,63,Other,Government Employee,9180254,93.23,32.46,10.38
Jabalpur,Madhya Pradesh,2023,Financial Fraud,330,238,92,2158257.34,25,Other,Unemployed,9817927,67.86,36.18,11.98
Gwalior,Madhya Pradesh,2024,Identity Theft,133,126,7,4191710.13,42,Female,Student,3579593,90.28,46.81,9.24
Ujjain,Madhya Pradesh,2023,Online Harassment,337,260,77,1677706.87,57,Female,Government Employee,2838150,60.45,72.79,6.86
Mumbai,Maharashtra,2024,Hacking,123,75,48,2197146.81,32,Male,Unemployed,18862988,81.23,63.94,8.07
Pune,Maharashtra,2024,Ransomware,31,6,25,2972198.02,65,Other,Engineer,19364787,63.32,88.0,4.39
Nagpur,Maharashtra,2024,Ransomware,427,201,226,3605530.55,17,Female,Unemployed,15509968,80.07,61.37,11.4
Nashik,Maharashtra,2024,Ransomware,352,13,339,1119395.7,26,Male,Government Employee,3365318,70.23,54.73,2.28
Thane,Maharashtra,2023,Online Harassment,193,174,19,1753046.14,30,Female,Unemployed,1653872,71.36,71.95,8.35
New Delhi,Delhi,2022,Data Breach,295,280,15,3259020.21,62,Female,Government Employee,5823308,89.57,81.4,5.34
Dwarka,Delhi,2024,Data Breach,172,78,94,551425.93,61,Male,Freelancer,10549998,81.76,68.37,9.57
Rohini,Delhi,2022,Online Harassment,448,362,86,2452931.12,36,Female,Government Employee,5392448,93.58,49.37,3.11
Saket,Delhi,2024,Online Harassment,475,259,216,3516130.09,50,Female,Doctor,13403698,81.65,34.56,2.93
Karol Bagh,Delhi,2024,Ransomware,446,134,312,771538.95,36,Other,Government Employee,13362947,64.66,53.11,10.45
Bengaluru,Karnataka,2024,Online Harassment,324,291,33,4855189.1,35,Male,Unemployed,1418109,68.61,39.3,11.93
Mysuru,Karnataka,2022,Hacking,124,106,18,3490641.56,29,Male,Teacher,14825892,82.68,42.96,2.12
Mangaluru,Karnataka,2022,Phishing,449,313,136,2442202.78,43,Female,Teacher,13885283,66.51,61.11,6.0
Hubli,Karnataka,2024,Ransomware,392,133,259,3548392.35,38,Female,Freelancer,12472807,72.76,85.53,4.35
Belgaum,Karnataka,2024,Identity Theft,49,44,5,715739.37,70,Other,Teacher,18111526,80.26,35.8,11.17
Chennai,Tamil Nadu,2024,Hacking,284,160,124,568797.73,67,Other,Teacher,11738444,85.11,68.7,7.54
Coimbatore,Tamil Nadu,2022,Hacking,147,147,0,4191236.38,44,Other,Unemployed,16731013,80.69,33.88,11.96
Madurai,Tamil Nadu,2022,Hacking,296,29,267,4484416.07,45,Other,Doctor,2189995,83.87,33.92,9.19
Tiruchirappalli,Tamil Nadu,2024,Online Harassment,495,459,36,3652414.48,60,Other,Unemployed,14506256,84.65,86.56,11.86
Salem,Tamil Nadu,2022,Hacking,168,137,31,3501169.57,34,Female,Teacher,19171240,87.94,60.48,6.07
Lucknow,Uttar Pradesh,2024,Identity Theft,451,3,448,4855898.19,18,Other,Government Employee,19761473,64.19,88.64,8.14
Kanpur,Uttar Pradesh,2024,Ransomware,383,82,301,3676153.87,30,Other,Doctor,6131341,61.03,85.73,9.29
Ghaziabad,Uttar Pradesh,2023,Financial Fraud,58,25,33,2891314.3,58,Female,Freelancer,12843993,84.37,38.31,5.43
Varanasi,Uttar Pradesh,2022,Online Harassment,191,45,146,3550951.61,31,Female,Engineer,6243020,69.12,42.04,5.51
Agra,Uttar Pradesh,2024,Financial Fraud,183,115,68,3771486.16,48,Female,Student,2093494,94.37,33.55,5.73
Kolkata,West Bengal,2022,Phishing,280,6,274,73072.08,39,Female,Student,19111556,79.72,81.56,11.56
Howrah,West Bengal,2022,Hacking,103,68,35,1130950.59,37,Male,Doctor,12605004,80.09,83.49,9.06
Durgapur,West Bengal,2022,Cyberstalking,426,419,7,2253276.91,54,Male,Engineer,10507753,92.73,36.47,8.83
Asansol,West Bengal,2024,Cyberstalking,470,51,419,2513372.69,53,Male,Government Employee,15306095,92.5,62.88,5.89
Siliguri,West Bengal,2023,Financial Fraud,352,283,69,374044.73,30,Female,Doctor,8084654,93.61,59.45,9.94
Ahmedabad,Gujarat,2022,Identity Theft,40,30,10,4063991.45,57,Other,Engineer,17493063,63.18,69.29,11.12
Surat,Gujarat,2024,Ransomware,397,279,118,3233832.61,33,Female,Doctor,15079183,86.72,47.58,8.26
Vadodara,Gujarat,2023,Ransomware,203,21,182,2477803.45,46,Male,Government Employee,18882525,76.94,53.33,6.98
Rajkot,Gujarat,2023,Phishing,280,21,259,980990.57,20,Female,Doctor,10574469,85.87,62.06,2.47
Bhavnagar,Gujarat,2023,Ransomware,106,45,61,4822726.2,18,Other,Freelancer,17108228,78.34,40.7,5.71
Jaipur,Rajasthan,2024,Phishing,476,109,367,538321.14,26,Male,Government Employee,2498248,84.99,59.72,7.71
Jodhpur,Rajasthan,2024,Phishing,33,24,9,1069847.7,59,Male,Business,209007,91.65,69.58,11.15
Udaipur,Rajasthan,2023,Cyberstalking,209,58,151,1890329.7,68,Female,Student,5282108,64.96,44.77,8.69
Kota,Rajasthan,2023,Online Harassment,114,112,2,3284014.98,32,Female,Student,14004864,88.82,52.63,10.43
Ajmer,Rajasthan,2022,Hacking,139,2,137,3151358.63,40,Male,Unemployed,4374771,83.2,43.38,8.38
Patna,Bihar,2022,Cyberstalking,471,405,66,2468257.19,26,Other,Government Employee,5665895,93.02,45.39,8.81
Gaya,Bihar,2024,Ransomware,155,137,18,1467872.85,69,Other,Business,3690389,86.63,53.69,10.86
Muzaffarpur,Bihar,2022,Financial Fraud,294,254,40,1043901.45,48,Male,Unemployed,16116526,63.83,43.72,10.33
Bhagalpur,Bihar,2022,Financial Fraud,400,355,45,4041725.11,30,Female,Government Employee,14750483,85.84,56.52,9.69
Purnia,Bihar,2024,Data Breach,403,107,296,3638305.28,17,Other,Student,5174115,71.95,87.02,11.22
Bhopal,Madhya Pradesh,2023,Hacking,112,82,30,329319.39,39,Male,Business,17014939,62.23,41.04,3.94
Indore,Madhya Pradesh,2024,Hacking,22,14,8,393445.27,30,Other,Business,18734890,65.64,62.83,5.18
Jabalpur,Madhya Pradesh,2022,Financial Fraud,219,132,87,2694655.14,54,Other,Doctor,10842993,72.96,38.61,3.04
Gwalior,Madhya Pradesh,2022,Phishing,205,0,205,2835422.7,67,Female,Engineer,7583576,86.68,32.11,7.46
Ujjain,Madhya Pradesh,2022,Hacking,489,292,197,3241711.26,33,Other,Freelancer,15138461,91.86,44.26,6.91
Mumbai,Maharashtra,2023,Identity Theft,335,232,103,2421688.96,24,Female,Government Employee,7560818,65.05,68.23,3.74
Pune,Maharashtra,2023,Online Harassment,461,82,379,1871986.57,16,Female,Business,4881293,61.49,54.62,10.8
Nagpur,Maharashtra,2022,Ransomware,74,45,29,1080099.56,40,Female,Freelancer,15504551,85.67,56.63,5.88
Nashik,Maharashtra,2023,Identity Theft,176,170,6,2024471.15,61,Other,Teacher,8304629,67.59,41.46,3.95
Thane,Maharashtra,2024,Identity Theft,470,237,233,2763617.31,63,Female,Government Employee,10347821,67.47,38.48,3.09
New Delhi,Delhi,2024,Hacking,163,159,4,2089983.34,27,Male,Government Employee,18561747,91.15,69.58,11.37
Dwarka,Delhi,2023,Cyberstalking,492,226,266,167985.21,28,Female,Doctor,9221096,94.43,70.84,9.69
Rohini,Delhi,2024,Ransomware,304,101,203,795882.12,35,Female,Teacher,4430701,86.69,59.2,8.1
Saket,Delhi,2024,Phishing,356,49,307,3945463.17,20,Male,Student,1820087,71.6,35.4,11.32
Karol Bagh,Delhi,2023,Data Breach,390,77,313,4791885.09,34,Male,Government Employee,10636424,80.42,79.7,6.75
Bengaluru,Karnataka,2024,Cyberstalking,158,77,81,552422.47,50,Male,Doctor,5527987,74.53,61.94,8.18
Mysuru,Karnataka,2022,Hacking,368,143,225,3465320.38,30,Male,Doctor,14978497,63.4,32.36,10.8
Mangaluru,Karnataka,2023,Ransomware,254,43,211,3847333.56,52,Other,Government Employee,14845374,80.47,40.91,10.94
Hubli,Karnataka,2023,Identity Theft,463,173,290,4939685.73,38,Male,Doctor,4577949,81.84,70.64,11.17
Belgaum,Karnataka,2022,Data Breach,334,164,170,1497129.84,65,Male,Government Employee,16651051,60.56,83.46,6.18
Chennai,Tamil Nadu,2022,Identity Theft,445,129,316,1000514.58,32,Other,Student,16478553,71.15,40.01,8.49
Coimbatore,Tamil Nadu,2024,Online Harassment,144,114,30,4980961.96,36,Male,Business,15420866,83.08,49.98,2.31
Madurai,Tamil Nadu,2024,Phishing,386,293,93,145100.19,39,Male,Unemployed,12801252,73.59,71.72,4.7
Tiruchirappalli,Tamil Nadu,2023,Identity Theft,197,131,66,4275451.97,65,Female,Freelancer,11529933,64.63,50.77,4.62
Salem,Tamil Nadu,2022,Hacking,154,68,86,462365.32,43,Other,Engineer,10740909,90.15,83.75,2.23
Lucknow,Uttar Pradesh,2022,Financial Fraud,134,19,115,926680.73,19,Male,Teacher,2982223,90.23,30.58,2.13
Kanpur,Uttar Pradesh,2023,Financial Fraud,89,74,15,3149325.57,70,Female,Government Employee,3601157,81.44,33.37,3.39
Ghaziabad,Uttar Pradesh,2024,Financial Fraud,105,11,94,3605359.29,20,Male,Freelancer,7870724,67.36,73.02,5.87
Varanasi,Uttar Pradesh,2024,Data Breach,253,209,44,1026633.78,46,Other,Doctor,15794090,70.08,70.57,10.65
Agra,Uttar Pradesh,2022,Hacking,104,64,40,81251.29,26,Male,Business,4878240,90.74,64.53,3.89
Kolkata,West Bengal,2022,Financial Fraud,106,23,83,4250650.71,63,Male,Doctor,13292859,82.24,65.54,8.02
Howrah,West Bengal,2024,Online Harassment,121,54,67,1292201.5,37,Other,Teacher,17852332,60.24,83.43,8.84
Durgapur,West Bengal,2023,Cyberstalking,43,3,40,360775.73,37,Other,Student,14481586,62.8,75.87,9.16
Asansol,West Bengal,2022,Financial Fraud,173,150,23,3868361.24,38,Other,Engineer,19149220,69.19,80.38,6.51
Siliguri,West Bengal,2024,Hacking,199,127,72,1536223.52,46,Female,Teacher,7704156,80.55,32.56,5.53
Ahmedabad,Gujarat,2023,Hacking,176,103,73,2344938.1,44,Female,Doctor,4817510,85.83,53.13,11.5
Surat,Gujarat,2022,Identity Theft,205,161,44,789450.44,38,Male,Freelancer,5847533,65.29,86.76,4.17
Vadodara,Gujarat,2022,Ransomware,251,38,213,1390905.91,27,Male,Unemployed,13211118,65.54,79.79,10.54
Rajkot,Gujarat,2023,Data Breach,107,62,45,3053783.75,46,Female,Freelancer,5412691,77.06,69.95,5.53
Bhavnagar,Gujarat,2022,Financial Fraud,497,165,332,3544819.33,53,Female,Doctor,7940405,78.16,59.65,4.16
Jaipur,Rajasthan,2023,Phishing,499,157,342,3175967.59,36,Other,Business,14444765,81.41,65.95,7.3
Jodhpur,Rajasthan,2023,Identity Theft,423,352,71,4327282.81,38,Other,Unemployed,2168123,60.62,52.2,4.46
Udaipur,Rajasthan,2023,Data Breach,475,446,29,4517642.67,55,Female,Business,18672567,71.93,77.63,8.98
Kota,Rajasthan,2022,Identity Theft,410,323,87,2882761.05,29,Other,Teacher,8408377,77.1,58.19,2.19
Ajmer,Rajasthan,2024,Financial Fraud,206,192,14,784359.52,35,Male,Unemployed,15575275,81.09,83.45,11.58
Patna,Bihar,2023,Financial Fraud,240,99,141,3898294.43,65,Female,Doctor,12256513,89.67,33.54,4.47
Gaya,Bihar,2024,Phishing,177,91,86,4132942.06,45,Other,Doctor,9202225,93.48,59.08,5.14
Muzaffarpur,Bihar,2024,Data Breach,431,415,16,3246915.81,53,Other,Engineer,9969346,85.67,74.13,3.95
Bhagalpur,Bihar,2024,Online Harassment,137,96,41,2143807.06,67,Male,Business,8807300,67.15,47.77,2.29
Purnia,Bihar,2024,Ransomware,50,23,27,2351450.43,24,Female,Freelancer,18681580,65.49,56.65,5.14
Bhopal,Madhya Pradesh,2023,Hacking,151,50,101,3546168.82,44,Female,Doctor,19729014,64.5,87.37,3.24
Indore,Madhya Pradesh,2023,Hacking,198,36,162,1610580.22,61,Female,Student,14621334,82.62,53.73,5.27
Jabalpur,Madhya Pradesh,2022,Online Harassment,175,144,31,3794632.3,17,Other,Student,4474714,77.38,85.62,3.4
Gwalior,Madhya Pradesh,2022,Cyberstalking,491,365,126,1213317.31,63,Female,Government Employee,11396701,62.84,50.61,2.7
Ujjain,Madhya Pradesh,2023,Phishing,278,213,65,3227002.61,40,Other,Doctor,18441100,88.8,78.86,6.48
Mumbai,Maharashtra,2022,Online Harassment,126,30,96,329745.18,58,Other,Student,1811040,82.5,71.84,6.79
Pune,Maharashtra,2022,Data Breach,398,119,279,4752331.81,70,Male,Government Employee,10886412,73.56,68.06,5.96
Nagpur,Maharashtra,2024,Online Harassment,262,12,250,3364728.27,59,Female,Engineer,1396540,67.0,32.16,4.3
Nashik,Maharashtra,2023,Phishing,188,179,9,449105.82,38,Other,Doctor,13377199,67.45,62.17,11.15
Thane,Maharashtra,2024,Online Harassment,146,142,4,1902787.87,39,Male,Teacher,8649270,71.71,49.62,4.6
New Delhi,Delhi,2022,Online Harassment,241,7,234,2255440.04,56,Other,Freelancer,6914903,66.47,32.5,10.05
Dwarka,Delhi,2024,Data Breach,112,97,15,2872524.53,62,Female,Teacher,19956440,88.63,51.66,2.54
Rohini,Delhi,2024,Data Breach,300,129,171,1123189.99,16,Female,Student,7311969,89.04,81.62,4.06
Saket,Delhi,2024,Ransomware,378,167,211,2316527.45,40,Other,Doctor,16548118,76.81,65.8,9.95
Karol Bagh,Delhi,2024,Data Breach,49,39,10,580944.87,15,Male,Student,426209,93.14,85.81,5.03
Bengaluru,Karnataka,2023,Cyberstalking,59,3,56,1871846.34,56,Male,Freelancer,12559795,62.66,55.05,2.22
Mysuru,Karnataka,2022,Financial Fraud,164,36,128,1350491.99,66,Male,Engineer,1068967,90.81,85.92,3.75
Mangaluru,Karnataka,2022,Financial Fraud,381,120,261,2303460.66,52,Other,Business,9111939,60.79,63.79,2.63
Hubli,Karnataka,2024,Cyberstalking,120,8,112,2017817.73,39,Male,Student,16740760,75.14,57.94,3.75
Belgaum,Karnataka,2022,Phishing,346,32,314,4799172.97,32,Other,Business,16128316,67.09,46.04,8.71
Chennai,Tamil Nadu,2022,Data Breach,363,229,134,4061251.94,56,Male,Freelancer,18805061,93.33,59.31,4.32
Coimbatore,Tamil Nadu,2024,Phishing,156,93,63,487659.2,38,Female,Unemployed,18323433,65.74,69.52,5.71
Madurai,Tamil Nadu,2024,Cyberstalking,174,163,11,1766599.34,26,Other,Freelancer,12535936,76.36,50.85,4.92
Tiruchirappalli,Tamil Nadu,2024,Hacking,355,277,78,2068737.6,42,Male,Business,4668482,71.65,51.52,6.67
Salem,Tamil Nadu,2024,Cyberstalking,465,21,444,1750096.12,70,Other,Doctor,11513867,78.91,79.92,3.59
Lucknow,Uttar Pradesh,2024,Cyberstalking,427,405,22,1068773.3,59,Female,Engineer,14108503,90.83,89.43,7.44
Kanpur,Uttar Pradesh,2024,Financial Fraud,304,2,302,1310849.96,50,Other,Doctor,7659552,83.94,77.26,6.89
Ghaziabad,Uttar Pradesh,2023,Identity Theft,290,202,88,2639449.08,67,Female,Teacher,19411559,72.29,54.48,9.52
Varanasi,Uttar Pradesh,2022,Data Breach,337,329,8,2295587.74,68,Other,Teacher,70002,91.26,88.16,10.0
Agra,Uttar Pradesh,2023,Cyberstalking,478,36,442,3489940.09,34,Male,Freelancer,10212214,88.88,62.52,2.97
Kolkata,West Bengal,2022,Phishing,18,0,18,1514131.16,28,Male,Engineer,2298880,68.87,87.06,6.22
Howrah,West Bengal,2023,Ransomware,15,9,6,1748689.46,38,Male,Business,14428875,81.67,85.17,8.35
Durgapur,West Bengal,2024,Phishing,357,251,106,4886216.63,46,Female,Government Employee,1091540,68.95,58.42,9.98
Asansol,West Bengal,2024,Financial Fraud,226,176,50,2956267.35,37,Other,Unemployed,966979,73.3,87.77,9.59
Siliguri,West Bengal,2022,Hacking,139,139,0,505641.75,30,Other,Engineer,15306737,73.29,50.24,8.04
Ahmedabad,Gujarat,2023,Phishing,175,79,96,2785497.54,60,Female,Teacher,13827687,63.32,71.03,7.93
Surat,Gujarat,2024,Phishing,488,259,229,2249928.36,47,Male,Unemployed,9268783,84.4,53.29,11.25
Vadodara,Gujarat,2024,Phishing,139,30,109,3506171.98,46,Male,Unemployed,9894517,89.87,32.39,8.01
Rajkot,Gujarat,2023,Financial Fraud,361,79,282,4844395.61,19,Male,Unemployed,16365757,68.72,53.24,9.45
Bhavnagar,Gujarat,2024,Cyberstalking,405,192,213,267179.65,26,Male,Government Employee,19631353,89.59,43.72,6.45
Jaipur,Rajasthan,2024,Financial Fraud,61,10,51,739066.27,62,Other,Student,14750105,77.37,77.66,6.3
Jodhpur,Rajasthan,2024,Identity Theft,335,278,57,576324.15,45,Male,Business,14689500,79.5,55.34,2.65
Udaipur,Rajasthan,2023,Identity Theft,253,102,151,2560212.16,30,Male,Engineer,858973,65.67,64.23,8.65
Kota,Rajasthan,2023,Identity Theft,295,134,161,2415504.72,65,Other,Doctor,19582723,74.46,63.58,4.32
Ajmer,Rajasthan,2022,Online Harassment,78,50,28,105408.42,18,Other,Student,3833348,78.36,45.95,7.31
Patna,Bihar,2023,Cyberstalking,173,62,111,4309899.14,66,Male,Teacher,15980287,76.74,42.85,3.72
Gaya,Bihar,2024,Financial Fraud,84,16,68,4296335.87,24,Male,Unemployed,17276328,94.65,34.36,3.65
Muzaffarpur,Bihar,2024,Ransomware,439,320,119,1840526.44,29,Female,Freelancer,2052294,86.33,32.57,5.2
Bhagalpur,Bihar,2023,Phishing,108,85,23,3646151.49,38,Female,Unemployed,7590387,86.2,37.64,8.15
Purnia,Bihar,2024,Ransomware,340,325,15,828561.37,53,Other,Business,16731031,87.06,55.96,2.31
Bhopal,Madhya Pradesh,2022,Financial Fraud,370,74,296,3875944.46,17,Female,Business,13245862,69.83,69.01,11.87
Indore,Madhya Pradesh,2023,Online Harassment,438,274,164,3046214.55,34,Female,Unemployed,13005159,86.51,80.37,7.9
Jabalpur,Madhya Pradesh,2024,Cyberstalking,250,86,164,500389.09,46,Female,Engineer,8492058,82.02,86.05,10.75
Gwalior,Madhya Pradesh,2024,Data Breach,170,82,88,4540727.27,51,Male,Government Employee,10329320,66.71,50.1,8.76
Ujjain,Madhya Pradesh,2023,Online Harassment,316,217,99,3364938.89,27,Other,Doctor,9949070,66.65,71.16,9.13
Mumbai,Maharashtra,2024,Identity Theft,114,102,12,2340317.64,48,Male,Engineer,9829812,82.35,42.34,9.9
Pune,Maharashtra,2023,Cyberstalking,464,331,133,4057408.58,38,Male,Freelancer,16301864,85.1,85.95,6.59
Nagpur,Maharashtra,2023,Cyberstalking,140,18,122,1300051.69,39,Other,Freelancer,159624,62.33,78.72,4.55
Nashik,Maharashtra,2023,Hacking,488,281,207,2938738.85,32,Other,Freelancer,6733707,69.3,88.89,8.28
Thane,Maharashtra,2023,Financial Fraud,253,111,142,1965079.22,22,Male,Doctor,4174396,72.65,78.08,2.55
New Delhi,Delhi,2022,Online Harassment,65,34,31,680739.47,21,Other,Freelancer,6925059,61.4,69.62,2.6
Dwarka,Delhi,2022,Identity Theft,329,141,188,1456731.11,30,Male,Teacher,19196732,86.31,85.67,5.54
Rohini,Delhi,2022,Cyberstalking,21,17,4,2941394.04,63,Male,Doctor,12910474,67.11,66.98,11.54
Saket,Delhi,2022,Online Harassment,424,248,176,666588.22,30,Female,Teacher,8170994,76.08,39.94,3.74
Karol Bagh,Delhi,2022,Online Harassment,64,0,64,1231915.18,34,Female,Freelancer,15020820,67.47,36.02,2.82
Bengaluru,Karnataka,2024,Hacking,236,38,198,3708863.72,39,Other,Freelancer,822644,78.94,46.3,10.82
Mysuru,Karnataka,2023,Ransomware,414,268,146,1744329.24,16,Female,Freelancer,14887416,81.23,52.38,9.03
Mangaluru,Karnataka,2024,Ransomware,96,51,45,1075298.01,35,Female,Freelancer,9248671,68.71,47.44,4.31
Hubli,Karnataka,2024,Hacking,22,21,1,4679564.38,30,Other,Engineer,15224851,84.96,31.31,7.72
Belgaum,Karnataka,2023,Ransomware,20,15,5,2209644.65,43,Female,Engineer,14725445,68.92,43.71,5.67
Chennai,Tamil Nadu,2023,Hacking,90,21,69,1134727.03,52,Other,Teacher,1267801,94.27,51.87,9.61
Coimbatore,Tamil Nadu,2022,Cyberstalking,57,39,18,3491798.33,18,Female,Engineer,17674595,92.62,57.19,4.93
Madurai,Tamil Nadu,2023,Online Harassment,455,95,360,1183988.9,34,Male,Engineer,7828441,90.51,67.26,7.73
Tiruchirappalli,Tamil Nadu,2024,Cyberstalking,157,140,17,2377729.4,42,Male,Teacher,626525,88.27,41.72,9.13
Salem,Tamil Nadu,2022,Financial Fraud,147,45,102,2693068.96,64,Female,Government Employee,6053692,65.35,85.93,4.46
Lucknow,Uttar Pradesh,2022,Identity Theft,447,87,360,3843430.67,47,Male,Student,13263925,64.72,32.9,3.56
Kanpur,Uttar Pradesh,2022,Data Breach,451,311,140,4179685.6,51,Female,Unemployed,8297307,75.92,72.61,9.13
Ghaziabad,Uttar Pradesh,2022,Phishing,44,24,20,722726.05,33,Female,Unemployed,13304568,79.26,73.57,10.89
Varanasi,Uttar Pradesh,2023,Identity Theft,412,310,102,2908485.81,68,Other,Freelancer,8486584,78.32,54.46,7.03
Agra,Uttar Pradesh,2023,Cyberstalking,422,18,404,1074120.41,53,Female,Business,3926751,81.15,54.74,5.76
Kolkata,West Bengal,2023,Phishing,171,124,47,1033579.1,16,Male,Freelancer,4988211,75.75,65.43,9.59
Howrah,West Bengal,2022,Online Harassment,212,62,150,754460.87,29,Female,Business,16383486,73.97,72.77,5.72
Durgapur,West Bengal,2022,Hacking,76,53,23,4800110.88,30,Male,Engineer,9962586,73.09,51.03,11.09
Asansol,West Bengal,2024,Ransomware,49,38,11,1505057.63,67,Other,Unemployed,1409773,92.69,82.12,6.79
Siliguri,West Bengal,2023,Identity Theft,109,39,70,4613827.17,25,Male,Engineer,4946901,86.05,63.7,2.6
